Site,reason
MCD_05290, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_05471, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_05497, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_05588, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_05668, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_05744, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_05745, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_05754, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_05774, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_05780, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_06118, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_06119, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_06248, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_06323, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_06445, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_06606, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_06673, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_06745, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_33152, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_36715, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_00190, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_00219, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_00220, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_02279, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_05274, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_05562, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_05581, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_05582, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_05590, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_05731, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_05966, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_05978, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_06029, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_00779, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00864, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_18937, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_26087, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_26936, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_27077, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_30695, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_31120, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_32041, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_32369, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_32398, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_32890, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_33506, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_34431, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_35988, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_36268, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_37939, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00052, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00534, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00632, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00633, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00658, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00688, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00724, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00735, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00741, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00787, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00930, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00938, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00959, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_01005, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_01007, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_01048, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_01085, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_01127, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
